id;name;display_name;description;advantages;disadvantages;enabled;decistion_tree
c97a9adc-aabb-4099-b8cc-bacb1a2096b8;bandwidth Japan male;midst Coupe Borders;male mobile Modern;generate productivity;Dubnium;true;true
b45a083c-7ff0-487e-b4f4-68d3350262da;Thorium boatload Cyclocross;Nickel;Director Incredible;repurpose;lime SUV;false;true
37b814fb-9eda-436e-aa26-55b43a27f3ac;Bedfordshire Soft back;coulomb Bohrium Pop;geez wireless;Awesome Reggae;City;true;false
176d3d89-c943-405a-9693-745b28ad2067;Metal Kids;Berkshire katal regarding;Mendelevium;violet;challenge Tesla Director;false;true
d96b7c42-49b2-46d1-a41f-b8a4f9b1f66b;second person generating;Synchronised tugboat;Niobium Chicken;orange Bicycle;hack;true;true
f23332d2-cf9e-47d8-9079-2e705775afac;West grouchy;Generic;Electric Hatchback;aha who Bedfordshire;East Intelligent against;true;true
79826a88-212c-403e-867a-33b61e716e88;valiantly;navigating;mole;metrics;nonconforming consectetur Future;true;false
d6f7787e-a192-4611-82af-1f7a8f526aa3;Praseodymium Buckinghamshire East;Research input;hacking bolívar Shoes;which;aboard abhor;false;true
13e4b176-b910-4c67-843e-2df8cfc2aab9;lux;irritating;Steel that phew;North Erbium;Sleek bypass;true;false
cbad87bc-5206-471f-af0a-c942bb7cbc6d;Oklahoma Alaska indexing;once Table;at;henry mobile Northwest;Keyboard catch brief;true;false
